recency,history,mens,womens,newbie,visit,conversion,spend,zip_code__rural,zip_code__surburban,zip_code__urban,channel__multichannel,channel__phone,channel__web,treatment
4,766.47,1,1,1,0,0,0.0,0,0,1,1,0,0,2
10,63.79,1,0,1,0,0,0.0,1,0,0,0,1,0,1
7,520.43,0,1,1,0,0,0.0,0,1,0,0,0,1,2
11,236.97,1,1,1,0,0,0.0,0,0,1,0,1,0,2
3,99.23,1,0,0,1,0,0.0,1,0,0,0,0,1,2
9,204.18,0,1,0,0,0,0.0,0,1,0,0,0,1,1
2,492.02,1,0,0,0,0,0.0,0,1,0,0,1,0,0
1,48.32,0,1,0,0,0,0.0,0,0,1,0,0,1,0
10,29.99,1,0,0,0,0,0.0,0,1,0,0,1,0,0
2,391.33,1,0,0,0,0,0.0,0,1,0,0,0,1,0
1,729.7,1,1,1,0,0,0.0,0,1,0,0,0,1,2
3,134.59,1,0,1,1,0,0.0,0,0,1,0,1,0,1
10,61.09,0,1,0,0,0,0.0,0,1,0,0,0,1,1
3,203.3,0,1,0,0,0,0.0,0,1,0,0,0,1,0
9,185.43,1,0,0,0,0,0.0,0,0,1,0,0,1,2
7,29.99,0,1,1,0,0,0.0,0,0,1,0,1,0,2
9,78.62,1,0,0,0,0,0.0,0,0,1,0,0,1,2
12,150.06,0,1,0,0,0,0.0,0,1,0,0,1,0,0
6,42.66,1,0,0,0,0,0.0,0,1,0,0,0,1,0
12,69.08,0,1,0,0,0,0.0,1,0,0,0,1,0,1
3,549.29,1,0,1,0,0,0.0,0,1,0,1,0,0,0
9,506.83,1,0,1,0,0,0.0,1,0,0,1,0,0,2
3,143.93,0,1,0,0,0,0.0,0,1,0,0,1,0,1
10,115.4,1,0,0,0,0,0.0,0,0,1,0,1,0,2
2,96.91,1,0,0,0,0,0.0,0,1,0,0,1,0,1
6,40.07,1,0,1,0,0,0.0,0,1,0,0,1,0,2
11,417.21,0,1,0,0,0,0.0,0,0,1,0,1,0,0
9,61.57,1,0,1,0,0,0.0,0,1,0,0,1,0,1
5,222.07,0,1,0,0,0,0.0,0,1,0,0,1,0,1
1,259.91,0,1,1,0,0,0.0,0,1,0,0,0,1,0
11,53.81,1,0,1,0,0,0.0,0,0,1,0,1,0,0
9,154.15,0,1,0,0,0,0.0,0,1,0,0,0,1,2
10,1009.44,1,0,1,0,0,0.0,0,1,0,1,0,0,1
2,278.8,1,0,0,0,0,0.0,1,0,0,0,0,1,2
10,31.12,1,0,0,0,0,0.0,0,0,1,0,1,0,1
2,428.74,1,0,0,0,0,0.0,1,0,0,0,1,0,2
7,612.28,1,0,1,0,0,0.0,0,1,0,0,1,0,1
11,228.09,0,1,1,0,0,0.0,0,1,0,0,0,1,0
1,640.58,0,1,1,0,0,0.0,0,0,1,0,1,0,2
4,194.11,1,0,0,0,0,0.0,0,0,1,0,1,0,0
7,84.49,0,1,1,0,0,0.0,0,0,1,0,0,1,0
7,235.14,0,1,1,0,0,0.0,0,0,1,0,1,0,2
2,29.99,0,1,0,0,0,0.0,0,1,0,0,1,0,2
7,272.32,1,0,1,0,0,0.0,0,1,0,0,0,1,2
2,95.33,0,1,0,1,0,0.0,0,1,0,0,0,1,0
5,494.26,1,1,1,0,0,0.0,0,1,0,0,1,0,2
2,809.07,1,0,1,0,0,0.0,0,0,1,0,1,0,2
1,80.42,0,1,1,0,0,0.0,0,0,1,0,1,0,1
10,237.85,1,0,0,0,0,0.0,0,0,1,0,0,1,1
2,82.59,1,0,0,0,0,0.0,0,1,0,0,1,0,1
6,165.77,0,1,0,1,0,0.0,0,0,1,0,0,1,1
3,101.61,0,1,1,0,0,0.0,0,1,0,0,1,0,0
8,52.64,0,1,1,0,0,0.0,0,1,0,0,0,1,0
6,466.29,1,0,1,0,0,0.0,0,0,1,1,0,0,2
3,100.85,1,0,1,0,0,0.0,0,0,1,0,1,0,2
3,1397.57,1,0,1,0,0,0.0,0,1,0,1,0,0,2
2,770.58,0,1,1,0,0,0.0,0,1,0,0,1,0,2
3,1973.87,1,0,1,0,0,0.0,0,1,0,1,0,0,0
3,133.51,1,0,0,0,0,0.0,0,0,1,0,0,1,2
8,31.52,0,1,0,0,0,0.0,0,1,0,0,0,1,2
1,47.44,0,1,0,0,0,0.0,0,0,1,0,1,0,1
1,106.27,0,1,0,0,0,0.0,0,1,0,0,0,1,1
11,215.46,0,1,0,0,0,0.0,0,0,1,0,0,1,1
11,189.25,0,1,1,0,0,0.0,0,0,1,0,1,0,0
10,108.12,1,0,0,0,0,0.0,0,0,1,0,0,1,1
8,66.14,1,0,1,0,0,0.0,0,1,0,0,1,0,0
8,98.56,1,0,1,0,0,0.0,0,1,0,0,0,1,1
6,129.14,1,0,0,0,0,0.0,0,1,0,0,0,1,1
2,493.17,0,1,0,0,0,0.0,0,1,0,0,0,1,1
11,146.04,0,1,1,0,0,0.0,0,1,0,0,1,0,2
12,29.99,0,1,1,0,0,0.0,0,0,1,0,0,1,0
2,66.6,1,0,1,0,0,0.0,0,0,1,0,1,0,1
12,129.73,1,0,0,0,0,0.0,0,1,0,0,0,1,1
4,54.41,0,1,1,0,0,0.0,0,0,1,0,1,0,1
9,1172.42,1,1,1,0,0,0.0,0,1,0,0,0,1,2
5,244.34,0,1,1,0,0,0.0,0,0,1,0,0,1,2
2,287.04,1,1,1,0,0,0.0,0,0,1,0,1,0,1
4,29.99,0,1,1,0,0,0.0,0,0,1,0,0,1,1
9,151.01,1,0,0,0,0,0.0,0,1,0,0,0,1,0
11,35.43,1,0,1,0,0,0.0,0,0,1,0,1,0,2
5,84.17,1,0,1,0,0,0.0,0,0,1,0,0,1,1
3,313.6,0,1,0,0,0,0.0,0,1,0,0,1,0,0
1,117.27,0,1,0,0,0,0.0,1,0,0,0,1,0,2
5,29.99,0,1,0,0,0,0.0,0,1,0,0,0,1,0
3,1167.93,1,1,1,0,0,0.0,1,0,0,0,0,1,1
3,683.2,1,1,1,0,0,0.0,1,0,0,1,0,0,0
1,110.07,0,1,0,0,0,0.0,0,0,1,0,0,1,2
1,102.94,1,0,0,0,0,0.0,0,0,1,0,0,1,1
2,29.99,0,1,0,0,0,0.0,0,0,1,0,0,1,2
11,160.04,1,0,0,0,0,0.0,1,0,0,0,0,1,2
1,418.68,0,1,0,0,0,0.0,0,1,0,0,0,1,0
11,316.23,1,0,1,0,0,0.0,0,0,1,0,1,0,2
12,253.06,0,1,0,0,0,0.0,0,1,0,0,1,0,1
9,329.96,0,1,1,0,0,0.0,0,1,0,0,1,0,0
7,185.73,1,0,0,0,0,0.0,0,1,0,0,1,0,2
11,52.08,0,1,0,0,0,0.0,0,0,1,0,0,1,1
1,616.73,0,1,1,0,0,0.0,0,0,1,0,0,1,2
9,123.39,1,0,0,0,0,0.0,0,0,1,0,1,0,1
3,249.71,1,0,0,0,0,0.0,0,1,0,0,1,0,0
2,46.09,0,1,0,0,0,0.0,0,0,1,0,0,1,0
8,48.87,1,0,1,0,0,0.0,0,1,0,0,0,1,2
10,77.37,1,0,0,0,0,0.0,0,1,0,0,1,0,1
4,270.24,1,0,1,0,0,0.0,0,0,1,0,1,0,0
9,228.8,1,0,0,1,0,0.0,0,1,0,1,0,0,2
3,80.18,0,1,0,0,0,0.0,0,0,1,0,1,0,1
11,131.76,0,1,1,1,0,0.0,0,1,0,0,0,1,1
9,162.59,0,1,0,1,0,0.0,0,0,1,0,1,0,2
12,87.62,1,0,1,0,0,0.0,0,0,1,0,1,0,2
3,29.99,1,0,0,0,0,0.0,0,1,0,0,1,0,2
3,29.99,0,1,0,0,0,0.0,0,0,1,0,0,1,1
7,59.96,1,0,1,0,0,0.0,0,0,1,0,0,1,1
7,78.49,0,1,0,0,0,0.0,1,0,0,0,0,1,1
2,29.99,0,1,0,0,0,0.0,0,1,0,0,1,0,2
7,206.8,1,0,0,0,0,0.0,0,1,0,0,1,0,1
7,229.53,1,0,0,1,0,0.0,0,1,0,0,0,1,2
1,439.93,1,1,1,0,0,0.0,1,0,0,1,0,0,0
10,313.67,1,0,1,1,0,0.0,1,0,0,0,1,0,1
7,29.99,1,0,1,0,0,0.0,0,1,0,0,0,1,1
3,57.33,0,1,0,1,0,0.0,0,1,0,0,0,1,1
2,289.55,0,1,0,1,0,0.0,1,0,0,0,1,0,0
5,29.99,0,1,1,1,0,0.0,0,1,0,0,1,0,2
9,274.29,1,0,0,0,0,0.0,0,1,0,0,0,1,0
1,293.37,1,0,0,0,0,0.0,0,1,0,0,1,0,0
12,29.99,1,0,1,0,0,0.0,0,0,1,0,1,0,0
1,407.09,1,0,0,0,0,0.0,0,1,0,0,0,1,0
1,142.4,0,1,0,0,0,0.0,0,1,0,0,1,0,0
1,29.99,0,1,1,0,0,0.0,0,0,1,0,0,1,2
12,284.54,1,1,0,0,0,0.0,0,1,0,0,0,1,2
2,60.2,0,1,1,0,0,0.0,0,1,0,0,0,1,0
4,1089.77,1,0,1,0,0,0.0,0,0,1,1,0,0,2
7,29.99,1,0,1,0,0,0.0,0,1,0,0,0,1,1
1,747.31,0,1,1,0,0,0.0,1,0,0,0,0,1,1
6,136.63,1,0,1,0,0,0.0,0,0,1,0,0,1,1
10,29.99,1,0,1,0,0,0.0,1,0,0,0,0,1,1
11,54.11,1,0,1,0,0,0.0,0,0,1,0,0,1,1
1,790.36,1,1,1,0,0,0.0,0,0,1,1,0,0,2
4,36.49,1,0,1,0,0,0.0,0,0,1,0,0,1,0
12,271.89,1,0,0,0,0,0.0,1,0,0,0,0,1,2
5,399.46,1,0,0,0,0,0.0,0,1,0,0,0,1,1
3,39.83,0,1,1,1,0,0.0,0,0,1,0,1,0,2
10,153.58,1,0,0,0,0,0.0,0,1,0,0,1,0,1
5,269.99,1,1,0,0,0,0.0,0,1,0,0,1,0,2
2,29.99,1,0,1,0,0,0.0,0,0,1,0,0,1,1
4,292.61,1,0,0,0,0,0.0,0,1,0,1,0,0,0
2,576.02,0,1,1,0,0,0.0,0,1,0,0,0,1,1
6,29.99,1,0,0,0,0,0.0,0,1,0,0,0,1,0
9,116.3,1,0,1,1,0,0.0,1,0,0,0,0,1,2
5,29.99,1,0,0,0,0,0.0,0,1,0,0,0,1,0
3,29.99,0,1,1,0,0,0.0,0,0,1,0,0,1,0
7,968.65,1,1,1,0,0,0.0,0,1,0,0,0,1,1
7,39.78,0,1,0,0,0,0.0,0,1,0,0,0,1,2
9,311.81,1,0,0,1,0,0.0,0,0,1,1,0,0,1
1,720.17,1,1,1,0,0,0.0,0,0,1,0,1,0,2
4,69.08,0,1,0,0,0,0.0,0,0,1,0,1,0,2
12,80.56,1,0,0,0,0,0.0,0,0,1,0,0,1,1
1,301.19,1,0,1,0,0,0.0,0,1,0,0,0,1,0
10,307.64,0,1,0,0,0,0.0,0,0,1,1,0,0,2
7,481.56,1,0,0,0,0,0.0,0,1,0,0,0,1,2
10,29.99,0,1,0,0,0,0.0,0,1,0,0,0,1,0
1,895.43,0,1,1,0,0,0.0,0,1,0,0,0,1,1
5,425.1,1,0,1,0,0,0.0,1,0,0,0,1,0,2
10,36.28,1,0,1,0,0,0.0,0,0,1,0,0,1,0
4,413.46,0,1,0,0,0,0.0,1,0,0,0,1,0,1
7,32.42,1,0,0,0,0,0.0,0,1,0,0,1,0,0
10,170.32,1,0,1,0,0,0.0,0,0,1,0,1,0,1
1,150.93,1,0,0,0,0,0.0,0,1,0,0,0,1,0
11,223.39,1,0,1,0,0,0.0,1,0,0,0,1,0,1
1,506.51,1,0,1,0,0,0.0,0,0,1,1,0,0,0
8,575.62,1,1,1,0,0,0.0,0,0,1,1,0,0,2
3,29.99,0,1,0,1,0,0.0,0,1,0,0,0,1,1
2,145.76,0,1,1,1,0,0.0,0,1,0,0,0,1,0
1,29.99,1,0,1,0,0,0.0,1,0,0,0,1,0,1
8,428.0,1,0,1,0,0,0.0,0,1,0,1,0,0,0
6,604.39,1,1,1,0,0,0.0,0,0,1,0,1,0,0
8,171.88,1,0,0,0,0,0.0,0,1,0,0,1,0,0
4,370.86,0,1,0,0,0,0.0,0,1,0,1,0,0,1
8,138.62,0,1,1,0,0,0.0,0,0,1,0,0,1,1
7,29.99,1,0,1,0,0,0.0,0,1,0,0,0,1,2
1,209.98,1,0,0,1,0,0.0,0,1,0,0,0,1,0
3,166.0,0,1,0,0,0,0.0,0,0,1,0,0,1,0
10,88.37,0,1,0,1,1,29.99,0,0,1,0,1,0,1
8,336.76,0,1,0,0,0,0.0,0,1,0,0,1,0,2
1,60.71,0,1,1,0,0,0.0,1,0,0,0,1,0,1
4,356.73,0,1,0,0,0,0.0,0,1,0,0,0,1,0
4,52.12,1,0,0,0,0,0.0,0,0,1,0,1,0,2
7,406.7,0,1,1,0,0,0.0,0,1,0,0,1,0,2
6,277.81,1,0,1,0,0,0.0,0,1,0,1,0,0,0
1,181.98,0,1,1,0,0,0.0,0,0,1,0,0,1,2
2,112.13,1,0,1,0,0,0.0,0,0,1,0,0,1,1
5,29.99,0,1,1,0,0,0.0,1,0,0,0,0,1,0
5,439.26,1,0,0,0,0,0.0,0,1,0,1,0,0,1
8,64.16,0,1,0,0,0,0.0,0,1,0,0,0,1,1
5,29.99,0,1,0,1,0,0.0,0,1,0,0,0,1,0
6,29.99,0,1,1,0,0,0.0,0,0,1,0,0,1,2
2,591.95,0,1,1,0,0,0.0,0,0,1,1,0,0,1
8,130.31,1,0,1,0,0,0.0,0,1,0,0,1,0,0
3,65.26,1,0,0,1,0,0.0,0,0,1,0,0,1,2
10,132.46,1,0,0,0,0,0.0,0,0,1,0,1,0,1
4,225.89,1,1,1,0,0,0.0,1,0,0,0,0,1,1
2,115.56,0,1,1,0,0,0.0,0,1,0,0,0,1,0
8,104.94,0,1,0,0,0,0.0,0,0,1,0,1,0,0
7,69.44,1,0,0,1,0,0.0,1,0,0,0,0,1,2
10,47.47,0,1,0,0,0,0.0,0,1,0,0,1,0,1
1,215.08,0,1,0,1,0,0.0,0,1,0,0,0,1,1
2,224.89,1,1,0,0,0,0.0,0,0,1,1,0,0,0
9,201.75,1,1,0,0,0,0.0,0,1,0,0,1,0,1
5,354.03,1,0,0,0,0,0.0,0,0,1,0,0,1,2
10,151.43,1,0,0,0,0,0.0,0,0,1,0,0,1,0
11,120.14,1,0,0,0,0,0.0,0,0,1,0,0,1,2
5,159.41,0,1,1,1,0,0.0,0,1,0,0,1,0,1
5,290.86,1,0,1,0,0,0.0,0,0,1,0,0,1,0
4,87.2,0,1,1,1,0,0.0,0,1,0,0,1,0,1
11,81.06,1,0,0,0,0,0.0,0,0,1,0,0,1,2
10,55.11,1,0,1,0,0,0.0,0,0,1,0,0,1,2
1,513.83,0,1,1,0,0,0.0,0,1,0,1,0,0,2
4,770.38,0,1,1,0,0,0.0,1,0,0,1,0,0,0
1,33.5,1,0,0,0,0,0.0,0,1,0,0,0,1,2
2,56.25,1,0,1,0,0,0.0,0,1,0,0,1,0,2
2,1093.92,1,1,1,0,0,0.0,0,1,0,0,0,1,0
1,752.8,1,1,1,0,0,0.0,0,0,1,0,1,0,0
2,199.95,1,0,1,0,0,0.0,0,1,0,0,1,0,0
9,239.91,0,1,0,0,0,0.0,1,0,0,0,1,0,0
8,43.16,0,1,1,0,0,0.0,0,0,1,0,1,0,0
2,418.81,0,1,0,0,0,0.0,0,1,0,1,0,0,0
9,318.52,0,1,0,0,0,0.0,0,0,1,0,0,1,1
1,109.26,0,1,1,1,0,0.0,0,1,0,0,0,1,1
3,67.4,1,0,0,0,0,0.0,0,1,0,0,0,1,2
9,135.02,1,0,1,0,0,0.0,0,1,0,0,0,1,1
10,54.25,0,1,0,0,0,0.0,0,1,0,0,0,1,2
3,55.34,1,0,1,0,0,0.0,0,1,0,0,1,0,1
4,297.8,1,1,0,1,1,264.66,0,0,1,0,1,0,1
4,146.49,0,1,0,0,0,0.0,0,1,0,0,1,0,1
7,329.26,0,1,0,0,0,0.0,0,0,1,0,0,1,2
1,29.99,1,0,1,0,0,0.0,1,0,0,0,1,0,2
4,249.61,0,1,1,0,0,0.0,0,0,1,0,1,0,1
5,39.52,1,0,1,0,0,0.0,0,1,0,0,1,0,2
1,307.58,1,0,0,0,0,0.0,0,1,0,1,0,0,0
6,92.32,0,1,0,0,0,0.0,0,0,1,0,1,0,2
6,464.17,0,1,0,0,0,0.0,0,1,0,1,0,0,1
6,29.99,1,0,1,0,0,0.0,0,1,0,0,0,1,1
2,435.33,0,1,0,0,0,0.0,0,1,0,0,0,1,1
10,375.9,0,1,0,0,0,0.0,0,0,1,0,0,1,2
9,29.99,1,0,0,0,0,0.0,0,0,1,0,0,1,2
9,220.51,1,0,0,0,0,0.0,0,0,1,1,0,0,2
5,180.28,0,1,0,0,0,0.0,0,1,0,0,1,0,1
6,78.69,0,1,0,0,0,0.0,0,1,0,0,1,0,2
2,350.48,1,0,1,0,0,0.0,0,0,1,0,0,1,1
3,376.14,1,0,0,0,0,0.0,0,1,0,0,1,0,0
1,179.63,1,0,0,1,0,0.0,0,1,0,0,1,0,2
6,164.51,1,0,0,1,0,0.0,0,1,0,0,1,0,1
8,59.76,0,1,1,0,0,0.0,0,0,1,0,0,1,2
11,29.99,0,1,0,0,0,0.0,0,1,0,0,0,1,1
2,407.64,0,1,1,0,0,0.0,0,0,1,0,0,1,1
1,143.0,0,1,0,0,0,0.0,0,0,1,0,1,0,1
4,320.17,0,1,1,0,0,0.0,0,0,1,0,1,0,2
1,103.07,1,0,0,0,0,0.0,0,1,0,0,0,1,2
10,35.84,1,0,1,0,0,0.0,0,0,1,0,1,0,0
3,190.66,0,1,1,0,0,0.0,0,1,0,0,0,1,1
2,90.91,1,0,0,0,0,0.0,0,1,0,0,0,1,2
5,215.03,0,1,1,0,0,0.0,0,0,1,0,0,1,0
1,856.4,0,1,1,0,0,0.0,0,0,1,0,0,1,0
10,139.83,1,0,1,0,0,0.0,0,0,1,0,1,0,2
10,245.09,1,0,0,0,0,0.0,0,0,1,1,0,0,0
6,127.2,0,1,0,0,0,0.0,0,1,0,0,1,0,0
1,470.65,1,0,0,0,0,0.0,0,0,1,0,1,0,2
1,59.13,1,0,1,0,0,0.0,0,0,1,0,0,1,2
3,327.1,1,0,1,0,0,0.0,0,1,0,0,0,1,0
1,399.72,1,1,0,1,0,0.0,0,1,0,0,1,0,2
3,29.99,1,0,0,0,0,0.0,0,0,1,0,1,0,0
6,398.03,1,1,0,0,0,0.0,0,1,0,0,1,0,0
4,134.24,0,1,0,1,0,0.0,0,0,1,0,0,1,2
10,290.55,0,1,0,0,0,0.0,0,1,0,0,0,1,2
7,29.99,1,0,0,0,0,0.0,0,1,0,0,0,1,0
4,87.69,1,0,0,0,0,0.0,0,1,0,0,0,1,2
10,335.77,0,1,0,0,0,0.0,1,0,0,1,0,0,1
12,465.37,0,1,1,0,0,0.0,1,0,0,1,0,0,0
12,75.26,1,0,1,0,0,0.0,0,0,1,0,1,0,1
10,327.18,0,1,0,0,0,0.0,0,0,1,0,1,0,1
1,188.89,0,1,1,0,0,0.0,0,1,0,0,0,1,0
4,49.8,1,0,1,0,0,0.0,0,0,1,0,0,1,2
7,688.51,1,1,1,0,0,0.0,1,0,0,1,0,0,1
3,229.42,0,1,0,0,0,0.0,1,0,0,1,0,0,0
1,253.18,0,1,0,0,0,0.0,0,1,0,1,0,0,2
2,156.4,0,1,0,0,0,0.0,0,1,0,0,0,1,2
2,196.93,0,1,1,0,0,0.0,1,0,0,0,0,1,1
4,557.47,1,0,1,0,0,0.0,0,0,1,0,0,1,0
12,177.66,1,0,0,1,0,0.0,0,1,0,0,1,0,1
9,29.99,0,1,0,0,0,0.0,0,1,0,0,1,0,1
11,140.07,0,1,1,0,0,0.0,0,0,1,0,0,1,2
10,168.04,1,0,0,0,0,0.0,0,0,1,0,0,1,0
5,173.65,1,0,0,0,0,0.0,0,0,1,0,0,1,1
4,164.7,1,0,0,0,0,0.0,0,1,0,0,1,0,0
2,57.53,1,0,1,0,0,0.0,0,0,1,0,1,0,0
10,29.99,1,0,0,0,0,0.0,0,0,1,0,0,1,1
3,188.19,1,0,0,1,0,0.0,0,0,1,0,1,0,2
10,29.99,0,1,0,1,1,149.28,0,1,0,0,0,1,0
1,35.23,1,0,1,0,0,0.0,0,0,1,0,1,0,2
4,63.22,1,0,0,0,0,0.0,0,1,0,0,0,1,1
4,550.59,1,0,1,0,0,0.0,0,1,0,0,0,1,0
6,232.94,1,0,1,0,0,0.0,0,1,0,1,0,0,2
11,91.23,1,0,0,0,0,0.0,0,0,1,0,0,1,1
2,571.53,1,0,1,0,0,0.0,1,0,0,1,0,0,1
1,169.31,0,1,1,0,0,0.0,1,0,0,0,0,1,1
10,205.88,1,0,0,0,0,0.0,0,0,1,0,1,0,0
1,1281.48,1,0,1,0,0,0.0,0,0,1,0,1,0,2
3,29.99,1,0,0,1,0,0.0,0,0,1,0,0,1,0
3,542.16,1,0,1,1,0,0.0,0,0,1,0,1,0,2
7,424.6,0,1,1,0,0,0.0,0,1,0,0,1,0,1
6,507.25,0,1,1,0,0,0.0,0,0,1,0,1,0,2
10,29.99,1,0,0,0,0,0.0,1,0,0,0,0,1,2
2,373.14,0,1,0,1,0,0.0,0,0,1,1,0,0,1
7,60.02,1,0,1,0,0,0.0,0,1,0,0,1,0,2
1,68.5,0,1,0,0,0,0.0,0,0,1,0,1,0,0
11,37.45,0,1,0,0,0,0.0,0,0,1,0,1,0,0
2,38.34,1,0,0,0,0,0.0,0,0,1,0,0,1,1
5,545.73,1,0,1,0,0,0.0,0,1,0,1,0,0,1
4,70.39,0,1,1,0,0,0.0,0,1,0,0,0,1,0
6,98.8,0,1,1,1,0,0.0,1,0,0,0,1,0,2
9,29.99,1,0,0,0,0,0.0,0,0,1,0,0,1,1
5,556.5,0,1,1,0,0,0.0,1,0,0,0,0,1,2
4,29.99,1,0,0,0,0,0.0,0,0,1,0,1,0,1
6,136.26,0,1,1,0,0,0.0,1,0,0,0,0,1,0
2,936.63,1,0,1,0,0,0.0,0,0,1,0,1,0,1
9,172.14,0,1,0,0,0,0.0,0,0,1,0,1,0,2
2,203.52,1,1,1,1,0,0.0,0,0,1,1,0,0,0
1,422.81,0,1,0,1,0,0.0,0,0,1,0,1,0,1
10,320.11,0,1,0,0,0,0.0,1,0,0,0,0,1,0
12,29.99,0,1,0,0,0,0.0,0,1,0,0,1,0,1
8,267.25,0,1,0,0,0,0.0,0,1,0,0,1,0,2
11,164.9,0,1,0,0,0,0.0,0,1,0,0,1,0,1
11,265.39,0,1,0,0,0,0.0,0,1,0,1,0,0,1
9,744.22,1,0,1,0,0,0.0,1,0,0,0,0,1,0
3,99.25,1,0,1,0,0,0.0,0,1,0,0,1,0,0
5,62.49,1,0,0,0,0,0.0,1,0,0,0,0,1,0
4,72.66,0,1,1,0,0,0.0,0,1,0,0,1,0,2
10,333.65,0,1,0,0,0,0.0,0,1,0,0,0,1,0
7,340.18,0,1,0,0,0,0.0,0,0,1,0,1,0,0
4,300.58,0,1,1,0,0,0.0,0,1,0,0,0,1,1
10,62.63,0,1,1,0,0,0.0,0,1,0,0,1,0,2
10,357.28,0,1,0,0,0,0.0,0,1,0,0,0,1,1
5,283.55,1,0,1,0,0,0.0,0,0,1,0,1,0,0
9,48.93,1,0,1,0,0,0.0,1,0,0,0,1,0,1
9,54.34,1,0,0,1,0,0.0,0,1,0,0,1,0,2
5,247.82,1,0,0,0,0,0.0,0,0,1,0,1,0,2
11,178.56,1,0,0,0,0,0.0,0,0,1,0,1,0,2
2,86.38,1,0,1,0,0,0.0,0,0,1,0,0,1,2
7,233.4,1,1,0,0,0,0.0,0,0,1,1,0,0,0
2,189.67,1,0,1,0,0,0.0,1,0,0,0,0,1,1
1,1524.15,1,0,1,0,0,0.0,1,0,0,0,0,1,0
5,544.43,0,1,1,0,0,0.0,0,0,1,0,0,1,1
8,60.69,1,0,1,0,0,0.0,0,0,1,0,1,0,1
10,57.71,0,1,0,0,0,0.0,0,1,0,0,0,1,2
4,410.86,0,1,0,0,0,0.0,0,0,1,0,0,1,0
6,40.24,1,0,1,0,0,0.0,0,1,0,0,1,0,2
9,535.17,0,1,1,0,0,0.0,0,1,0,0,0,1,2
3,584.63,1,1,1,0,0,0.0,0,1,0,0,0,1,0
1,29.99,1,0,1,0,0,0.0,0,0,1,0,1,0,2
3,1570.59,1,1,1,0,0,0.0,0,0,1,0,0,1,1
5,119.47,1,0,0,0,0,0.0,0,1,0,0,1,0,0
7,68.86,0,1,0,0,0,0.0,0,1,0,0,1,0,0
3,68.81,0,1,0,0,0,0.0,0,0,1,0,1,0,2
9,165.62,0,1,0,0,0,0.0,0,0,1,0,0,1,0
1,686.08,1,1,1,0,0,0.0,0,0,1,0,0,1,0
3,263.07,0,1,0,0,0,0.0,0,1,0,0,0,1,1
5,568.26,0,1,1,0,0,0.0,0,1,0,1,0,0,1
7,145.89,0,1,0,0,0,0.0,0,0,1,0,1,0,0
2,190.4,0,1,1,1,0,0.0,1,0,0,0,0,1,1
5,964.59,0,1,1,0,0,0.0,0,1,0,0,1,0,0
10,158.55,0,1,0,0,0,0.0,0,1,0,0,1,0,1
7,578.35,0,1,1,1,0,0.0,0,1,0,0,0,1,2
